Permit Type,Issuance Date
DM,07/15/2010 12:00:00 AM
DM,01/11/2011 12:00:00 AM
DM,08/07/2008 12:00:00 AM
DM,01/16/2008 12:00:00 AM
DM,02/06/2009 12:00:00 AM
DM,11/20/2012 12:00:00 AM
DM,02/04/2011 12:00:00 AM
DM,03/23/2011 12:00:00 AM
DM,05/23/2012 12:00:00 AM
DM,09/10/2010 12:00:00 AM
DM,06/05/2009 12:00:00 AM
DM,09/20/2010 12:00:00 AM
DM,05/16/2012 12:00:00 AM
DM,10/17/2008 12:00:00 AM
DM,03/30/2009 12:00:00 AM
DM,02/05/2008 12:00:00 AM
DM,02/29/2008 12:00:00 AM
DM,06/11/2012 12:00:00 AM
DM,07/07/2009 12:00:00 AM
DM,09/08/2010 12:00:00 AM
DM,01/31/2011 12:00:00 AM
DM,05/22/2009 12:00:00 AM
DM,05/12/2010 12:00:00 AM
DM,04/15/2008 12:00:00 AM
DM,10/04/2011 12:00:00 AM
DM,10/08/2010 12:00:00 AM
DM,04/08/2009 12:00:00 AM
DM,01/22/2008 12:00:00 AM
DM,03/18/2008 12:00:00 AM
DM,06/05/2008 12:00:00 AM
DM,03/26/2009 12:00:00 AM
DM,01/16/2008 12:00:00 AM
DM,09/24/2008 12:00:00 AM
DM,12/17/2012 12:00:00 AM
DM,03/12/2010 12:00:00 AM
DM,03/18/2008 12:00:00 AM
DM,03/10/2011 12:00:00 AM
DM,08/07/2008 12:00:00 AM
DM,03/26/2008 12:00:00 AM
DM,02/02/2012 12:00:00 AM
DM,07/11/2008 12:00:00 AM
DM,11/07/2011 12:00:00 AM
DM,09/04/2012 12:00:00 AM
DM,04/28/2010 12:00:00 AM
DM,07/21/2008 12:00:00 AM
DM,07/12/2011 12:00:00 AM
DM,07/18/2012 12:00:00 AM
DM,07/14/2008 12:00:00 AM
DM,04/29/2010 12:00:00 AM
DM,09/09/2008 12:00:00 AM
DM,01/13/2011 12:00:00 AM
DM,12/23/2010 12:00:00 AM
DM,05/30/2008 12:00:00 AM
DM,11/19/2010 12:00:00 AM
DM,05/22/2008 12:00:00 AM
DM,08/27/2012 12:00:00 AM
DM,08/20/2012 12:00:00 AM
DM,06/10/2008 12:00:00 AM
DM,05/30/2008 12:00:00 AM
DM,07/07/2009 12:00:00 AM
DM,10/15/2008 12:00:00 AM
DM,02/06/2009 12:00:00 AM
DM,10/12/2010 12:00:00 AM
DM,03/22/2012 12:00:00 AM
DM,10/13/2010 12:00:00 AM
DM,07/10/2008 12:00:00 AM
DM,01/23/2009 12:00:00 AM
DM,12/08/2008 12:00:00 AM
DM,09/23/2009 12:00:00 AM
DM,10/27/2010 12:00:00 AM
DM,07/08/2011 12:00:00 AM
DM,05/06/2011 12:00:00 AM
DM,04/27/2011 12:00:00 AM
DM,01/21/2009 12:00:00 AM
DM,11/19/2009 12:00:00 AM
DM,11/07/2008 12:00:00 AM
DM,08/12/2008 12:00:00 AM
DM,03/18/2011 12:00:00 AM
DM,07/22/2009 12:00:00 AM
DM,04/22/2011 12:00:00 AM
DM,11/21/2011 12:00:00 AM
DM,10/16/2012 12:00:00 AM
DM,12/14/2012 12:00:00 AM
